Country Name,Country Code,Indicator Name,Indicator Code,2011
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,370818747396.83
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,6522732202.51
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,29233333333.33
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,5863590521693.20
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1053500000.00
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1558059481133.08
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,423011844.33
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,2272006394117.54
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1537231271077.74
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,25433011405.30
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,45810626509.45
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,832546270783.83
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,39312016.50
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,33878631649.42
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,20176751242.05
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,163159671670.27
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,18897054524211.00
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,47962439293.37
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,15517926000000.00
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,45915191189.32
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,676129407.41
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,316482190800.36
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4239000000.00
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,135539438559.71
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,792149700.68
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,73280409172752.00
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,739785121.89
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,6649291075.90
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,32726417878.39
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,416878162440.89
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,23460098339.75
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,12098450748.86
